browser_natural_idle,os_natural_idle,browser_machine_idle,os_machine_idle,browser_natural_maximum_normal,os_natural_maximum_normal,browser_machine_maximum_normal,os_machine_maximum_normal,browser_natural_medium_abovenormal,os_natural_medium_abovenormal,browser_machine_medium_abovenormal,os_machine_medium_abovenormal,browser_natural_busy_abovenormal,os_natural_busy_abovenormal,browser_machine_busy_abovenormal,os_machine_busy_abovenormal,type
18.89106000000004,18.8912876,13.244500000000016,13.2451233,18.450559999999996,18.450768,13.491700000000037,13.491876699999999,17.115620000000035,17.112898,14.205160000000205,14.1858357,20.03946000000002,20.0065949,13.503739999999993,13.5038868,keydown
19.000880000000052,19.0011765,13.254440000000045,13.2553457,18.520899999999983,18.5211756,13.501620000000003,13.502082399999999,17.21584000000007,17.1992672,14.20544000000018,14.1960155,20.105999999999995,20.1080081,13.513599999999997,13.51408,keyup
19.216319999999996,19.216458,13.460659999999962,13.461308499999998,18.751700000000028,18.7519278,13.713039999999864,13.713187899999998,17.389560000000074,17.3901077,14.452640000000201,14.438792900000001,20.324540000000013,20.322575399999998,13.734219999999993,13.7206996,keydown
19.317980000000034,19.3183341,13.470640000000003,13.471530099999999,18.822040000000015,18.8223045,13.722919999999931,13.723395999999997,17.483780000000024,17.484460400000003,14.452940000000353,14.4489563,20.42482000000001,20.4247852,13.734520000000032,13.730855300000002,keyup
19.517399999999952,19.517521,13.683539999999994,13.684163999999999,19.061059999999998,19.0611176,13.934279999999944,13.934479399999997,17.68600000000015,17.675336199999997,14.675300000000107,14.665012800000001,20.653660000000002,20.639211099999997,13.950439999999958,13.941184400000001,keydown
19.595299999999952,19.5956114,13.693479999999909,13.694382099999999,19.155140000000074,19.1553897,13.94419999999991,13.9446878,17.769320000000107,17.769712400000003,14.675620000000208,14.675172000000002,20.725780000000043,20.725515299999998,13.950940000000003,13.951380400000001,keyup
19.818719999999985,19.8188134,13.89967999999999,13.900281,19.34620000000018,19.3462992,14.155719999999974,14.155790399999997,17.964699999999993,17.960498700000002,14.938340000000153,14.9046133,20.973060000000032,20.9482881,14.173039999999958,14.160017800000002,keydown
19.920479999999998,19.9207795,13.90967999999998,13.910529699999998,19.440280000000257,19.4405846,14.165659999999889,14.166058499999998,18.065039999999954,18.0548528,14.938600000000179,14.914786600000001,21.088940000000036,21.0581662,14.173339999999996,14.1701729,keyup
20.120019999999954,20.1200098,14.11554000000001,14.116109699999999,19.663340000000062,19.6634454,14.376919999999927,14.377082099999999,18.245020000000068,18.245653599999997,15.170180000000073,15.144217500000002,21.24083999999999,21.2415141,14.405899999999974,14.3995785,keydown
20.205820000000017,20.2061086,14.12546000000009,14.1263246,19.749480000000176,19.749755,14.386919999999918,14.3872866,18.33938000000012,18.3400807,15.170440000000099,15.1543787,21.348960000000034,21.3509399,14.409339999999986,14.409757899999999,keyup
20.43714,20.4373951,14.331840000000057,14.3324548,19.98050000000012,19.9806011,14.598160000000007,14.598384499999998,18.537320000000136,18.514906500000002,15.392860000000155,15.3570848,21.563619999999958,21.565479699999997,14.622299999999996,14.6224359,keydown
20.547000000000025,20.5472911,14.341859999999997,14.3426769,20.074620000000095,20.0749033,14.608219999999847,14.608593499999998,18.616559999999936,18.617238899999997,15.39316000000008,15.3672487,21.66568000000001,21.6676902,14.63209999999998,14.6326052,keyup
20.730440000000044,20.7305126,14.547900000000027,14.5485315,20.281760000000077,20.2818155,14.819979999999987,14.820178799999997,18.79950000000008,18.800054799999998,15.572900000000345,15.573205199999999,21.896360000000016,21.8981921,14.839339999999993,14.838837900000001,keydown
20.840360000000032,20.840606,14.557919999999967,14.5587573,20.359860000000026,20.3601492,14.829999999999927,14.830385699999997,18.889380000000074,18.886398399999997,15.582900000000336,15.5835557,21.99834000000004,22.000349,14.848559999999964,14.849054800000001,keyup
21.01577999999995,21.0159698,14.763720000000035,14.764344599999998,20.590959999999995,20.590985,15.041240000000016,15.0414459,19.101419999999962,19.1016974,15.795240000000149,15.795812,22.220939999999985,22.2228396,15.068979999999954,15.054809899999999,keydown
21.125599999999963,21.1258891,14.773700000000076,14.7745636,20.661020000000008,20.6613122,15.051280000000133,15.051658,19.186820000000125,19.187534300000003,15.805160000000342,15.80597,22.315080000000023,22.317075199999998,15.069320000000005,15.0649692,keyup
21.340959999999995,21.341053,14.986139999999978,14.986755499999997,20.892120000000205,20.8921926,15.26263999999992,15.262795399999998,19.406439999999975,19.3942584,16.011560000000145,16.012110900000003,22.546260000000018,22.531578,15.293079999999975,15.293148200000001,keydown
21.442639999999983,21.4429892,14.996179999999981,14.996968899999999,20.962240000000065,20.9625022,15.272559999999885,15.273008099999998,19.464359999999942,19.464748300000004,16.021680000000288,16.0223267,22.646500000000003,22.6417985,15.302959999999985,15.3033459,keyup
